Condición,Escenario de Carga,N_Replicas,packets_generated_mean,packets_generated_std,packets_generated_ci95,packets_generated_formatted,packets_delivered_mean,packets_delivered_std,packets_delivered_ci95,packets_delivered_formatted,packets_dropped_mean,packets_dropped_std,packets_dropped_ci95,packets_dropped_formatted,pdr_percent_mean,pdr_percent_std,pdr_percent_ci95,pdr_percent_formatted,throughput_packets_per_tick_mean,throughput_packets_per_tick_std,throughput_packets_per_tick_ci95,throughput_packets_per_tick_formatted,mean_latency_ticks_mean,mean_latency_ticks_std,mean_latency_ticks_ci95,mean_latency_ticks_formatted,mean_queue_length_mean,mean_queue_length_std,mean_queue_length_ci95,mean_queue_length_formatted,peak_queue_length_mean,peak_queue_length_std,peak_queue_length_ci95,peak_queue_length_formatted,mean_congested_nodes_percent_mean,mean_congested_nodes_percent_std,mean_congested_nodes_percent_ci95,mean_congested_nodes_percent_formatted,recovery_time_ticks_mean,recovery_time_ticks_std,recovery_time_ticks_ci95,recovery_time_ticks_formatted
Sin Control,Baja,10,595.5,23.090402046449228,16.517878565974755,595.50 ± 16.52,587.4,22.6431250297107,16.197915863160986,587.40 ± 16.20,0.0,0.0,0.0,0.00 ± 0.00,98.64236964977174,0.5276875821977154,0.3774849561294255,98.64 ± 0.38,1.9580000000000002,0.07547708343236904,0.05399305287720332,1.96 ± 0.05,3.9251462884267796,0.27292838580959267,0.19524120562914218,3.93 ± 0.20,0.0017066666666666667,0.0005165890025260548,0.00036954551051464134,0.00 ± 0.00,2.1,0.7378647873726218,0.5278366713326231,2.10 ± 0.53,0.0,0.0,0.0,0.00 ± 0.00,0.0,0.0,0.0,0.00 ± 0.00
Sin Control,Media,10,1796.0,49.76388695072406,35.59894019902349,1796.00 ± 35.60,1770.2,47.82560913243959,34.21237977598968,1770.20 ± 34.21,1.5,4.743416490252569,3.393235744281149,1.50 ± 3.39,98.56544511032719,0.2826830553528862,0.2022192758525713,98.57 ± 0.20,5.900666666666667,0.15941869710813183,0.11404126591996551,5.90 ± 0.11,4.505162632773553,0.5339803191191393,0.381986508943734,4.51 ± 0.38,0.06927333333333334,0.04250367536758542,0.030405297704088726,0.07 ± 0.03,7.9,4.532597979574677,3.242425266757542,7.90 ± 3.24,0.018000000000000002,0.056920997883030844,0.0407188289313738,0.02 ± 0.04,0.0,0.0,0.0,0.00 ± 0.00
Sin Control,Alta,10,4194.2,58.0723686446489,41.54246995705032,4194.20 ± 41.54,3248.5,265.3740546641455,189.8371626741237,3248.50 ± 189.84,790.2,263.42563783099524,188.44334923678576,790.20 ± 188.44,77.46522841644905,6.427475980164557,4.597939330484891,77.47 ± 4.60,10.828333333333333,0.8845801822138185,0.6327905422470792,10.83 ± 0.63,11.892514922979053,1.5572033537309475,1.1139561731196372,11.89 ± 1.11,2.0502,0.3474190140997247,0.24852859100789854,2.05 ± 0.25,18.0,0.0,0.0,18.00 ± 0.00,6.1513333333333335,1.7082459417574698,1.2220055315627616,6.15 ± 1.22,0.0,0.0,0.0,0.00 ± 0.00
Con Control,Baja,10,609.3,27.93663464978478,19.984664526796692,609.30 ± 19.98,601.9,26.117044243175755,18.683007963358794,601.90 ± 18.68,0.0,0.0,0.0,0.00 ± 0.00,98.79705219126085,0.6046040611045272,0.4325076904997199,98.80 ± 0.43,2.006333333333333,0.08705681414391923,0.06227669321119602,2.01 ± 0.06,3.9303010015887985,0.24079679649286218,0.17225565131103784,3.93 ± 0.17,0.0017133333333333334,0.0008491389974774667,0.0006074374459895214,0.00 ± 0.00,1.5,0.5270462766947299,0.37702619380901653,1.50 ± 0.38,0.0,0.0,0.0,0.00 ± 0.00,0.0,0.0,0.0,0.00 ± 0.00
Con Control,Media,10,1804.1,22.496666419716497,16.09314568506018,1804.10 ± 16.09,1777.2,24.925667270684826,17.83074821845193,1777.20 ± 17.83,0.0,0.0,0.0,0.00 ± 0.00,98.50789826912093,0.4084172521606742,0.2921641018579196,98.51 ± 0.29,5.924,0.08308555756894946,0.05943582739483979,5.92 ± 0.06,4.375439624445983,0.36432840776366865,0.26062484254147633,4.38 ± 0.26,0.05377333333333334,0.019533047653074623,0.013973100533626269,0.05 ± 0.01,6.2,2.573367875415838,1.8408764813272618,6.20 ± 1.84,0.0,0.0,0.0,0.00 ± 0.00,0.0,0.0,0.0,0.00 ± 0.00
Con Control,Alta,10,3767.1,218.3231295325552,156.17895844810027,3767.10 ± 156.18,3358.8,387.3648294710183,277.1041058990886,3358.80 ± 277.10,38.9,37.7960903327903,27.037694238920675,38.90 ± 27.04,88.90122284546888,5.139827675030712,3.676811222923213,88.90 ± 3.68,11.196000000000002,1.2912160982367278,0.923680352996962,11.20 ± 0.92,21.312810177670144,8.283217848910315,5.925457092023876,21.31 ± 5.93,4.102833333333334,1.780437598658276,1.2736483318814944,4.10 ± 1.27,17.9,0.3162277660168379,0.22621571628540987,17.90 ± 0.23,1.8586666666666667,1.335279320665729,0.9552012834616485,1.86 ± 0.96,0.0,0.0,0.0,0.00 ± 0.00
