run_id,condition,load,injection_rate,seed,packets_generated,packets_delivered,packets_dropped,pdr_percent,throughput_packets_per_tick,mean_latency_ticks,mean_queue_length,peak_queue_length,mean_congested_nodes_percent,peak_congested_nodes_percent,recovery_time_ticks
24,Sin Control,Alta,0.28,303,4213,3054,1008,72.48991217659625,10.18,12.396201702685003,2.0774666666666666,18,6.273333333333333,10.0,0.0
25,Sin Control,Alta,0.28,404,4189,3237,808,77.27381236571973,10.79,12.339511893728762,2.183666666666667,18,7.153333333333334,12.0,0.0
26,Sin Control,Alta,0.28,505,4265,2934,1153,68.79249706916765,9.78,13.434219495569188,2.389066666666667,18,9.053333333333333,14.000000000000002,0.0
27,Sin Control,Alta,0.28,606,4108,3605,347,87.7555988315482,12.016666666666667,9.520943134535367,1.5608,18,3.393333333333333,8.0,0.0
28,Sin Control,Alta,0.28,707,4104,2902,1068,70.71150097465888,9.673333333333334,11.047208821502412,1.7617333333333334,18,5.786666666666666,12.0,0.0
29,Sin Control,Alta,0.28,808,4248,3173,887,74.6939736346516,10.576666666666666,14.481878348566026,2.6572666666666667,18,8.386666666666667,16.0,0.0
30,Sin Control,Alta,0.28,909,4234,3334,738,78.74350495984885,11.113333333333333,11.6874625074985,2.0598,18,5.7,10.0,0.0
31,Con Control,Baja,0.04,42,601,596,0,99.16805324459234,1.9866666666666666,3.6073825503355703,0.0008666666666666667,1,0.0,0.0,0.0
32,Con Control,Baja,0.04,101,572,570,0,99.65034965034964,1.9,4.133333333333334,0.0011333333333333334,1,0.0,0.0,0.0
33,Con Control,Baja,0.04,202,623,610,0,97.91332263242376,2.033333333333333,3.7475409836065574,0.0007999999999999999,1,0.0,0.0,0.0
34,Con Control,Baja,0.04,303,623,609,0,97.75280898876404,2.03,4.331691297208539,0.0026,2,0.0,0.0,0.0
35,Con Control,Baja,0.04,404,568,562,0,98.94366197183099,1.8733333333333333,3.7829181494661923,0.0011333333333333334,1,0.0,0.0,0.0
36,Con Control,Baja,0.04,505,608,602,0,99.01315789473685,2.006666666666667,4.028239202657807,0.0015999999999999999,2,0.0,0.0,0.0
37,Con Control,Baja,0.04,606,613,607,0,99.02120717781403,2.0233333333333334,3.7182866556836904,0.0013333333333333335,2,0.0,0.0,0.0
38,Con Control,Baja,0.04,707,628,624,0,99.36305732484077,2.08,3.8253205128205128,0.0030666666666666668,2,0.0,0.0,0.0
39,Con Control,Baja,0.04,808,594,586,0,98.65319865319864,1.9533333333333334,4.235494880546075,0.0016666666666666668,1,0.0,0.0,0.0
40,Con Control,Baja,0.04,909,663,653,0,98.49170437405732,2.1766666666666667,3.892802450229709,0.002933333333333334,2,0.0,0.0,0.0
41,Con Control,Media,0.12,42,1830,1799,0,98.30601092896175,5.996666666666667,3.9266259032795996,0.0324,4,0.0,0.0,0.0
42,Con Control,Media,0.12,101,1790,1763,0,98.49162011173185,5.876666666666667,4.512762336925695,0.047266666666666665,5,0.0,0.0,0.0
43,Con Control,Media,0.12,202,1787,1766,0,98.82484611080022,5.886666666666667,4.027746319365798,0.03413333333333333,3,0.0,0.0,0.0
44,Con Control,Media,0.12,303,1782,1739,0,97.58698092031426,5.796666666666667,5.117308798159862,0.09133333333333334,11,0.0,0.0,0.0
45,Con Control,Media,0.12,404,1812,1786,0,98.56512141280353,5.953333333333333,4.137178051511758,0.04186666666666666,6,0.0,0.0,0.0
46,Con Control,Media,0.12,505,1800,1776,0,98.66666666666667,5.92,4.580518018018018,0.05966666666666666,6,0.0,0.0,0.0
47,Con Control,Media,0.12,606,1821,1796,0,98.62712795167491,5.986666666666666,4.067928730512249,0.032733333333333337,4,0.0,0.0,0.0
48,Con Control,Media,0.12,707,1770,1749,0,98.8135593220339,5.83,4.311034877072613,0.07233333333333335,10,0.0,0.0,0.0
49,Con Control,Media,0.12,808,1808,1775,0,98.17477876106194,5.916666666666667,4.700281690140845,0.061533333333333336,7,0.0,0.0,0.0
50,Con Control,Media,0.12,909,1841,1823,0,99.02227050516024,6.076666666666667,4.373011519473396,0.06446666666666667,6,0.0,0.0,0.0
51,Con Control,Alta,0.28,42,3969,3769,10,94.96094734189973,12.563333333333333,11.709472008490316,2.0254666666666665,18,0.5533333333333333,6.0,0.0
52,Con Control,Alta,0.28,101,3711,3189,39,85.93371059013742,10.63,24.280338664158045,4.832066666666667,18,1.8066666666666664,8.0,0.0
53,Con Control,Alta,0.28,202,4067,3869,3,95.13154659454143,12.896666666666667,12.666580511760145,2.235933333333333,18,0.5,4.0,0.0
54,Con Control,Alta,0.28,303,3507,2968,86,84.63073852295409,9.893333333333333,29.57210242587601,5.814866666666666,18,3.6666666666666665,14.000000000000002,0.0
55,Con Control,Alta,0.28,404,3958,3639,9,91.94037392622538,12.13,15.973344325364112,3.0430666666666673,18,1.0266666666666666,6.0,0.0
56,Con Control,Alta,0.28,505,3542,2959,91,83.54037267080744,9.863333333333333,31.344035147009123,6.1674,18,3.8733333333333326,10.0,0.0
57,Con Control,Alta,0.28,606,4019,3862,0,96.09355561084847,12.873333333333333,8.692387364060073,1.2881999999999998,17,0.06666666666666667,2.0,0.0
58,Con Control,Alta,0.28,707,3542,2936,95,82.8910220214568,9.786666666666667,27.614782016348773,5.443666666666666,18,2.9266666666666663,10.0,0.0
59,Con Control,Alta,0.28,808,3606,3102,30,86.02329450915141,10.34,27.633784655061252,5.417533333333332,18,2.186666666666667,8.0,0.0
60,Con Control,Alta,0.28,909,3750,3295,26,87.86666666666667,10.983333333333333,23.641274658573597,4.760133333333333,18,1.9800000000000002,6.0,0.0
